children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Engine and other machine assemblers    ,45900,72,72,55,high,high,medium to high,medium to high,,
,Model makers wood    ,1400,90,51,93,very high,medium to high,very high,very high,,
,Aircraft service attendants and transportation workers all other,35800,,,,,,,,,
,Excavating and loading machine and dragline operators surface mining,46100,75,80,82,high,high,high,high,,
,Pest control workers    ,87600,100,96,100,very high,very high,very high,very high,,
,Gas plant operators    ,14700,98,80,92,very high,high,very high,very high,,
,Photographic process workers and processing machine operators    ,12300,74,62,89,high,medium to high,very high,very high,,
,Bailiffs    ,20300,59,54,28,medium to high,medium to high,low,low,,
,Power distributors and dispatchers    ,11200,100,82,100,very high,high,very high,very high,,
,First-line supervisors of personal service and entertainment and recreation workers except gambling services,313100,,,,,,,,,
,Furniture finishers    ,17400,7,60,26,very low,medium to high,low,low,,
,Log graders and scalers    ,4800,91,81,55,very high,high,medium to high,medium to high,,
,Exercise trainers and group fitness instructors    ,373700,17,19,14,low,low,very low,very low,,
,Welders cutters solderers and brazers    ,438900,61,82,30,medium to high,high,low,low,,
,Payroll and timekeeping clerks    ,149800,2,2,2,very low,very low,very low,very low,,
,Automotive glass installers and repairers    ,24300,17,69,21,low,high,low,low,,
,Pourers and casters metal    ,8000,79,66,54,high,medium to high,medium to high,medium to high,,
,Operating engineers and other construction equipment operators    ,418000,99,100,83,very high,very high,high,high,,
,Forest and conservation workers    ,13200,91,81,55,very high,high,medium to high,medium to high,,
,First-line supervisors of landscaping lawn service and groundskeeping workers    ,170700,15,25,35,very low,low,low to medium,low to medium,,
,Stonemasons    ,16800,49,92,35,low to medium,very high,low to medium,low to medium,,
,First-line supervisors of correctional officers    ,48700,63,38,77,medium to high,low to medium,high,high,,
,Electrical electronic and electromechanical assemblers except coil winders tapers and finishers,291700,72,72,55,high,high,medium to high,medium to high,,
,Welding soldering and brazing machine setters operators and tenders    ,37200,61,82,30,medium to high,high,low,low,,
,Chemical plant and system operators    ,29200,98,80,92,very high,high,very high,very high,,
,Timing device assemblers and adjusters,1300,,,,,,,,,
,Shoe machine operators and tenders    ,5300,39,69,2,low to medium,high,very low,very low,,
,Tire builders    ,21000,88,89,64,very high,very high,medium to high,medium to high,,
,Physical therapist aides    ,50600,30,57,26,low,medium to high,low,low,,
,Medical appliance technicians    ,14800,87,91,81,very high,very high,high,high,,
,Animal breeders    ,8400,97,93,93,very high,very high,very high,very high,,
,Electric motor power tool and related repairers    ,17900,30,61,35,low,medium to high,low to medium,low to medium,,
,Multiple machine tool setters operators and tenders metal and plastic    ,150500,98,79,75,very high,high,high,high,,
,Tour and travel guides,57300,27,54,20,low,medium to high,low,low,,
,First-line supervisors of farming fishing and forestry workers    ,53200,82,60,100,high,medium to high,very high,very high,,
,Locomotive engineers    ,27400,100,97,100,very high,very high,very high,very high,,
,Recreational vehicle service technicians    ,15900,26,81,25,low,high,low,low,,
,Forging machine setters operators and tenders metal and plastic    ,16400,75,92,92,high,very high,very high,very high,,
,Telephone operators    ,5000,83,59,35,high,medium to high,low to medium,low to medium,,
,Adhesive bonding machine operators and tenders    ,14000,50,60,84,low to medium,medium to high,very high,very high,,
,Farm equipment mechanics and service technicians    ,40800,78,81,60,high,high,medium to high,medium to high,,
,Coil winders tapers and finishers    ,13000,72,72,55,high,high,medium to high,medium to high,,
,Crane and tower operators    ,45700,98,96,89,very high,very high,very high,very high,,
,Receptionists and information clerks    ,1105300,71,49,59,high,low to medium,medium to high,medium to high,,
,Molding coremaking and casting machine setters operators and tenders metal and plastic    ,173400,85,93,47,very high,very high,low to medium,low to medium,,
,Solar photovoltaic installers    ,12000,44,68,57,low to medium,high,medium to high,medium to high,,
,Gambling dealers    ,102900,70,80,40,high,high,low to medium,low to medium,,
,Rolling machine setters operators and tenders metal and plastic    ,32599.998,82,65,85,high,medium to high,very high,very high,,
,Flight attendants    ,121900,7,75,7,very low,high,very low,very low,,
,Postal service mail carriers    ,326600,1,1,1,very low,very low,very low,very low,,
,Pesticide handlers sprayers and applicators vegetation    ,38100,49,73,52,low to medium,high,medium to high,medium to high,,
,Passenger attendants    ,28000,7,75,7,very low,high,very low,very low,,
,Driver/sales workers    ,487400,75,85,35,high,very high,low to medium,low to medium,,
,Community health workers    ,64900,5,9,21,very low,very low,low,low,,
,Orderlies,50600,,,,,,,,,
,Wellhead pumpers    ,14100,99,91,59,very high,very high,medium to high,medium to high,,
,Helpers--installation maintenance and repair workers    ,101100,84,96,35,very high,very high,low to medium,low to medium,,
,Occupational therapy aides    ,8000,30,57,26,low,medium to high,low,low,,
,Library assistants clerical    ,90500,17,38,9,low,low to medium,very low,very low,,
,Insurance sales agents    ,501300,14,2,33,very low,very low,low,low,,
,Public safety telecommunicators    ,98300,96,54,100,very high,medium to high,very high,very high,,
,Funeral attendants    ,34300,21,60,13,low,medium to high,very low,very low,,
,Woodworking machine setters operators and tenders except sawing    ,79300,99,92,91,very high,very high,very high,very high,,
,Court municipal and license clerks    ,163700,26,33,21,low,low,low,low,,
,Packaging and filling machine operators and tenders    ,392100,39,68,26,low to medium,high,low,low,,
,Recreation workers    ,417100,17,19,14,low,low,very low,very low,,
,Petroleum pump system operators refinery operators and gaugers    ,41300,98,80,92,very high,high,very high,very high,,
,Security guards    ,1154100,67,54,76,high,medium to high,high,high,,
,Computer numerically controlled tool operators,152400,,,,,,,,,
,Postal service clerks    ,78100,21,64,3,low,medium to high,very low,very low,,
,Chemical equipment operators and tenders    ,88500,96,69,80,very high,high,high,high,,
,Photographers    ,133500,84,68,80,very high,high,high,high,,
,Self-enrichment teachers    ,386200,37,34,55,low to medium,low to medium,medium to high,medium to high,,
,First-line supervisors of mechanics installers and repairers    ,499100,70,51,94,high,medium to high,very high,very high,,
,Logging equipment operators    ,39200,91,81,55,very high,high,medium to high,medium to high,,
,Textile knitting and weaving machine setters operators and tenders    ,24800,98,79,100,very high,high,very high,very high,,
,Tellers    ,449000,20,17,24,low,low,low,low,,
,First-line supervisors of production and operating workers    ,648900,56,38,96,medium to high,low to medium,very high,very high,,
,Coin vending and amusement machine servicers and repairers    ,37000,91,84,57,very high,very high,medium to high,medium to high,,
,Animal control workers    ,13900,20,75,46,low,high,low to medium,low to medium,,
,Entertainment attendants and related workers all other    ,4800,70,80,40,high,high,low to medium,low to medium,,
,Reinforcing iron and rebar workers    ,18800,71,96,34,high,very high,low to medium,low to medium,,
,Customer service representatives    ,3018800,38,10,42,low to medium,very low,low to medium,low to medium,,
,Communications equipment operators all other    ,3600,,,,,,,,,
,Floral designers    ,51800,59,47,77,medium to high,low to medium,high,high,,
,Secretaries and administrative assistants except legal medical and executive    ,2250200,33,43,9,low,low to medium,very low,very low,,
,Rail-track laying and maintenance equipment operators    ,13900,85,94,49,very high,very high,low to medium,low to medium,,
,Pile driver operators    ,3600,99,100,83,very high,very high,high,high,,
,Underground mining machine operators and extraction workers all other,14100,,,,,,,,,
,Textile bleaching and dyeing machine operators and tenders    ,9000,98,88,98,very high,very high,very high,very high,,
,Patternmakers wood    ,700,90,51,93,very high,medium to high,very high,very high,,
,Water and wastewater treatment plant and system operators    ,126400,100,69,100,very high,high,very high,very high,,
,Property real estate and community association managers    ,367900,13,21,34,very low,low,low to medium,low to medium,,
,Sales and related workers all other    ,142900,39,10,13,low to medium,very low,very low,very low,,
,Industrial machinery mechanics    ,399400,64,82,66,medium to high,high,medium to high,medium to high,,
,Gas compressor and gas pumping station operators    ,3700,99,91,59,very high,very high,medium to high,medium to high,,
,Correctional officers and jailers    ,442000,59,54,28,medium to high,medium to high,low,low,,
,Paving surfacing and tamping equipment operators    ,46600,99,96,81,very high,very high,high,high,,
,Dredge operators    ,1600,99,96,83,very high,very high,high,high,,
,Extruding and forming machine setters operators and tenders synthetic and glass fibers    ,19000,93,58,84,very high,medium to high,very high,very high,,
,Bicycle repairers    ,13200,26,81,25,low,high,low,low,,
,First-line supervisors of office and administrative support workers    ,1552400,8,8,29,very low,very low,low,low,,
,Signal and track switch repairers    ,6600,91,84,57,very high,very high,medium to high,medium to high,,
,Weighers measurers checkers and samplers recordkeeping    ,61300,98,64,63,very high,medium to high,medium to high,medium to high,,
,Costume attendants    ,7700,70,80,40,high,high,low to medium,low to medium,,
,School bus monitors and protective service workers all other,145600,36.25,56,51.5,low to medium,medium to high,medium to high,medium to high,,
,Financial clerks all other    ,32599.998,,,,,,,,,
,Glaziers    ,52800,91,81,85,very high,high,very high,very high,,
,Highway maintenance workers    ,156100,68,88,48,high,very high,low to medium,low to medium,,
,Office clerks general    ,3126300,47,41,16,low to medium,low to medium,very low,very low,,
,Correspondence clerks    ,6800,2,1,2,very low,very low,very low,very low,,
,Insurance claims and policy processing clerks    ,293900,44,18,53,low to medium,low,medium to high,medium to high,,
,Procurement clerks    ,68500,6,19,18,very low,low,low,low,,
,Printing press operators    ,181400,97,81,89,very high,high,very high,very high,,
,Brickmasons and blockmasons    ,81900,49,92,35,low to medium,very high,low to medium,low to medium,,
,Postal service mail sorters processors and processing machine operators    ,98500,21,64,3,low,medium to high,very low,very low,,
,Cabinetmakers and bench carpenters    ,112200,44,66,20,low to medium,medium to high,low,low,,
,Print binding and finishing workers    ,45200,97,81,89,very high,high,very high,very high,,
,Gambling surveillance officers and gambling investigators    ,10500,67,54,76,high,medium to high,high,high,,
,Subway and streetcar operators    ,10700,100,97,100,very high,very high,very high,very high,,
,Opticians dispensing    ,73800,63,79,34,medium to high,high,low to medium,low to medium,,
,Choreographers    ,5500,5,16,14,very low,very low,very low,very low,,
,Watch and clock repairers    ,3200,39,67,46,low to medium,high,low to medium,low to medium,,
,Paper goods machine setters operators and tenders    ,100400,75,67,77,high,high,high,high,,
,Real estate sales agents    ,376500,60,33,88,medium to high,low,very high,very high,,
,Social and human service assistants    ,425600,5,9,21,very low,very low,low,low,,
,Structural metal fabricators and fitters    ,78500,71,96,34,high,very high,low to medium,low to medium,,
,Private detectives and investigators    ,36200,67,54,76,high,medium to high,high,high,,
,Veterinary assistants and laboratory animal caretakers    ,99500,30,57,26,low,medium to high,low,low,,
,Credit authorizers checkers and clerks    ,26900,7,6,14,very low,very low,very low,very low,,
,Electricians    ,739200,40,67,60,low to medium,high,medium to high,medium to high,,
,Bus drivers transit and intercity,223400,,,,,,,,,
,Logging workers all other    ,5700,91,81,55,very high,high,medium to high,medium to high,,
,First-line supervisors of police and detectives    ,126100,21,47,29,low,low to medium,low,low,,
,Manufactured building and mobile home installers    ,2900,91,84,57,very high,very high,medium to high,medium to high,,
,Detectives and criminal investigators    ,113500,63,38,77,medium to high,low to medium,high,high,,
,Gambling cage workers    ,14600,65,23,38,medium to high,low,low to medium,low to medium,,
,Police and sheriff's patrol officers    ,688400,63,38,77,medium to high,low to medium,high,high,,
,Motorboat mechanics and service technicians    ,25700,62,66,54,medium to high,medium to high,medium to high,medium to high,,
,Childcare workers    ,1146400,38,53,25,low to medium,medium to high,low,low,,
,Dental laboratory technicians    ,36200,87,91,81,very high,very high,high,high,,
,Mixing and blending machine setters operators and tenders    ,128000,92,66,33,very high,medium to high,low,low,,
,Transit and railroad police    ,4500,63,38,77,medium to high,low to medium,high,high,,
,Jewelers and precious stone and metal workers    ,35100,20,64,81,low,medium to high,high,high,,
,Insulation workers mechanical    ,27300,66,77,44,medium to high,high,low to medium,low to medium,,
,Woodworkers all other    ,11700,,,,,,,,,
,Automotive body and related repairers    ,155500,17,69,21,low,high,low,low,,
,Home appliance repairers    ,38400,61,68,67,medium to high,high,high,high,,
,Rail yard engineers dinkey operators and hostlers    ,5200,100,97,100,very high,very high,very high,very high,,
,Cleaning washing and metal pickling equipment operators and tenders    ,16299.999,99,67,93,very high,high,very high,very high,,
,Concierges    ,42600,91,84,14,very high,very high,very low,very low,,
,Surveying and mapping technicians    ,58400,80,54,84,high,medium to high,very high,very high,,
,Brokerage clerks    ,48600,39,48,24,low to medium,low to medium,low,low,,
,Pharmacy aides    ,37900,30,57,26,low,medium to high,low,low,,
,Model makers metal and plastic    ,4400,90,67,75,very high,high,high,high,,
,Precision instrument and equipment repairers all other    ,12200,39,67,46,low to medium,high,low to medium,low to medium,,
,Advertising sales agents    ,139200,6,6,16,very low,very low,very low,very low,,
,Bridge and lock tenders    ,3300,98,93,93,very high,very high,very high,very high,,
,Aircraft structure surfaces rigging and systems assemblers    ,43900,72,72,55,high,high,medium to high,medium to high,,
,Sawing machine setters operators and tenders wood    ,54500,70,67,43,high,high,low to medium,low to medium,,
,Airfield operations specialists    ,10900,62,33,29,medium to high,low,low,low,,
,Drilling and boring machine tool setters operators and tenders metal and plastic    ,11200,30,64,75,low,medium to high,high,high,,
,Etchers and engravers    ,12900,72,91,34,high,very high,low to medium,low to medium,,
,Loan interviewers and clerks    ,212600,38,10,42,low to medium,very low,low to medium,low to medium,,
,Information and record clerks all other    ,166500,,,,,,,,,
,Umpires referees and other sports officials    ,22800,27,54,52,low,medium to high,medium to high,medium to high,,
,Camera and photographic equipment repairers    ,4200,39,67,46,low to medium,high,low to medium,low to medium,,
,Aircraft cargo handling supervisors,9600,,,,,,,,,
,Foundry mold and coremakers    ,17600,85,93,47,very high,very high,low to medium,low to medium,,
,Media and communication workers all other    ,35200,1,1,1,very low,very low,very low,very low,,
,Plating machine setters operators and tenders metal and plastic    ,42100,96,96,84,very high,very high,very high,very high,,
,Healthcare support workers all other    ,96900,30,57,26,low,medium to high,low,low,,
,Boilermakers    ,15900,24,91,21,low,very high,low,low,,
,Cargo and freight agents    ,97200,79,37,77,high,low to medium,high,high,,
,Heat treating equipment setters operators and tenders metal and plastic    ,20100,37,54,35,low to medium,medium to high,low to medium,low to medium,,
,Meter readers utilities    ,30900,44,75,9,low to medium,high,very low,very low,,
,Coating painting and spraying machine setters operators and tenders,151400,84,92,76,very high,very high,high,high,,
,Locker room coatroom and dressing room attendants    ,16800,70,80,40,high,high,low to medium,low to medium,,
,Refractory materials repairers except brickmasons    ,800,64,82,66,medium to high,high,medium to high,medium to high,,
,File clerks    ,106700,17,25,6,low,low,very low,very low,,
,First-line supervisors of non-retail sales workers    ,409800,28,20,61,low,low,medium to high,medium to high,,
,Mechanical door repairers    ,23400,65,66,46,medium to high,medium to high,low to medium,low to medium,,
,First-line supervisors of housekeeping and janitorial workers    ,231900,37,26,76,low to medium,low,high,high,,
,Elevator and escalator installers and repairers    ,28900,100,98,100,very high,very high,very high,very high,,
,Food service managers    ,352600,50,26,68,low to medium,low,high,high,,
,Metal workers and plastic workers all other    ,24900,75.25,79.25,71.25,high,high,high,high,,
,Merchandise displayers and window trimmers    ,180400,59,47,77,medium to high,low to medium,high,high,,
,Production planning and expediting clerks    ,378500,72,3,23,high,very low,low,low,,
,Miscellaneous construction and related workers,34100,44,68,57,low to medium,high,medium to high,medium to high,,
,Carpenters    ,1024100,82,77,85,high,high,very high,very high,,
,Cutting punching and press machine setters operators and tenders metal and plastic    ,195700,72,77,80,high,high,high,high,,
,Dispatchers except police fire and ambulance    ,204600,96,54,100,very high,medium to high,very high,very high,,
,Telecommunications line installers and repairers    ,123600,69,68,58,high,high,medium to high,medium to high,,
,Helpers--electricians    ,81100,44,96,14,low to medium,very high,very low,very low,,
,Miscellaneous assemblers and fabricators,1389100,72,72,55,high,high,medium to high,medium to high,,
,Electrical power-line installers and repairers    ,115000,67,75,44,high,high,low to medium,low to medium,,
,Light truck drivers    ,1018600,75,85,35,high,very high,low to medium,low to medium,,
,Eligibility interviewers government programs    ,147500,5,1,21,very low,very low,low,low,,
,Transportation storage and distribution managers    ,139400,50,26,68,low to medium,low,high,high,,
,Reservation and transportation ticket agents and travel clerks    ,126300,15,43,46,very low,low to medium,low to medium,low to medium,,
,Executive secretaries and executive administrative assistants    ,593400,33,43,9,low,low to medium,very low,very low,,
,Installation maintenance and repair workers all other    ,187700,91,84,57,very high,very high,medium to high,medium to high,,
,Power plant operators    ,35300,100,82,100,very high,high,very high,very high,,
,Extruding forming pressing and compacting machine setters operators and tenders    ,72400,62,79,59,medium to high,high,medium to high,medium to high,,
,Animal trainers    ,50200,97,93,93,very high,very high,very high,very high,,
,Chefs and head cooks    ,148700,9,62,21,very low,medium to high,low,low,,
,Textile apparel and furnishings workers all other    ,18700,87,65,83,very high,medium to high,high,high,,
,Fiberglass laminators and fabricators,20400,,,,,,,,,
,Office and administrative support workers all other    ,220800,,,,,,,,,
,Upholsterers    ,35200,75,79,81,high,high,high,high,,
,Maintenance and repair workers general    ,1516400,91,84,57,very high,very high,medium to high,medium to high,,
,First-line supervisors of gambling services workers,58000,50,26,68,low to medium,low,high,high,,
,Roof bolters mining,3300,98,96,89,very high,very high,very high,very high,,
,Helpers--extraction workers    ,16900,59,79,54,medium to high,high,medium to high,medium to high,,
,Separating filtering clarifying precipitating and still machine setters operators and tenders    ,53100,96,69,80,very high,high,high,high,,
,First-line supervisors of retail sales workers    ,1476400,28,20,61,low,low,medium to high,medium to high,,
,Control and valve installers and repairers except mechanical door    ,53100,65,66,46,medium to high,medium to high,low to medium,low to medium,,
,Helpers--pipelayers plumbers pipefitters and steamfitters    ,59300,44,96,14,low to medium,very high,very low,very low,,
,New accounts clerks    ,44300,7,6,14,very low,very low,very low,very low,,
,First-line supervisors of food preparation and serving workers    ,1039300.1,67,9,26,high,very low,low,low,,
,Commercial pilots    ,41600,66,59,80,medium to high,medium to high,high,high,,
,Crushing grinding and polishing machine setters operators and tenders    ,35300,92,66,33,very high,medium to high,low,low,,
,Psychiatric aides,59500,,,,,,,,,
,Electronic equipment installers and repairers motor vehicles    ,10400,30,61,35,low,medium to high,low to medium,low to medium,,
,Residential advisors    ,115200,38,53,25,low to medium,medium to high,low,low,,
,Home health and personal care aides,3439700,,,,,,,,,
,Fabric and apparel patternmakers    ,6000,93,58,84,very high,medium to high,very high,very high,,
,Parking enforcement workers    ,8100.0005,59,54,28,medium to high,medium to high,low,low,,
,Title examiners abstractors and searchers    ,63600,16,3,25,very low,very low,low,low,,
,Nuclear power reactor operators    ,5300,100,82,100,very high,high,very high,very high,,
,Millwrights    ,48700,33,89,34,low,very high,low to medium,low to medium,,
,Farmers ranchers and other agricultural managers    ,952300,94,55,94,very high,medium to high,very high,very high,,
,Layout workers metal and plastic    ,8500,98,79,75,very high,high,high,high,,
,Metal-refining furnace operators and tenders    ,17100,79,66,54,high,medium to high,medium to high,medium to high,,
,Production workers all other,238600,88,89,64,very high,very high,medium to high,medium to high,,
,Machinists    ,388100,93,75,90,very high,high,very high,very high,,
,Lodging managers    ,57200,50,26,68,low to medium,low,high,high,,
,Hearing aid specialists    ,8100.0005,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Data entry keyers    ,172400,63,60,94,medium to high,medium to high,very high,very high,,
,Tire repairers and changers    ,113400,26,81,25,low,high,low,low,,
,Couriers and messengers    ,121800,30,68,13,low,high,very low,very low,,
,Riggers    ,23500,91,84,57,very high,very high,medium to high,medium to high,,
,Rail transportation workers all other    ,2500,,,,,,,,,
,Hotel motel and resort desk clerks    ,276500,2,9,2,very low,very low,very low,very low,,
,Animal caretakers    ,300700,7,60,1,very low,medium to high,very low,very low,,
,Ambulance drivers and attendants except emergency medical technicians    ,14900,62,79,14,medium to high,high,very low,very low,,
,Construction and building inspectors    ,120800,85,84,100,very high,very high,very high,very high,,
,Railroad conductors and yardmasters    ,36000,30,77,34,low,high,low to medium,low to medium,,
,Legal secretaries and administrative assistants    ,171800,33,43,9,low,low to medium,very low,very low,,
,Helpers--production workers    ,304200,63,83,24,medium to high,high,low,low,,
,Food batchmakers    ,162500,91,60,76,very high,medium to high,high,high,,
,Claims adjusters examiners and investigators    ,332900,44,18,53,low to medium,low,medium to high,medium to high,,
,Lighting technicians and media and communication equipment workers all other,26600,,,,,,,,,
,Locksmiths and safe repairers    ,21100,5,33,7,very low,low,very low,very low,,
,Structural iron and steel workers    ,77000,71,96,34,high,very high,low to medium,low to medium,,
,Terrazzo workers and finishers    ,3000,37,74,20,low to medium,high,low,low,,
,Milling and planing machine setters operators and tenders metal and plastic    ,19200,98,79,75,very high,high,high,high,,
,Plumbers pipefitters and steamfitters    ,490200,74,83,43,high,high,low to medium,low to medium,,
,Ophthalmic laboratory technicians    ,30200,87,91,81,very high,very high,high,high,,
,Postmasters and mail superintendents    ,13400,50,26,68,low to medium,low,high,high,,
,Molders shapers and casters except metal and plastic    ,49400,44,67,25,low to medium,high,low,low,,
,Patternmakers metal and plastic    ,3100,90,67,75,very high,high,high,high,,
,Bus and truck mechanics and diesel engine specialists    ,281300,60,92,59,medium to high,very high,medium to high,medium to high,,
,Billing and posting clerks    ,484200,13,18,28,very low,low,low,low,,
,Sheet metal workers    ,137700,24,52,57,low,medium to high,medium to high,medium to high,,
,Mail clerks and mail machine operators except postal service    ,88400,79,79,92,high,high,very high,very high,,
,Food cooking machine operators and tenders    ,30400,88,89,64,very high,very high,medium to high,medium to high,,
,Extruding and drawing machine setters operators and tenders metal and plastic    ,77400,62,79,59,medium to high,high,medium to high,medium to high,,
,Office machine operators except computer    ,47300,91,77,87,very high,high,very high,very high,,
,Plant and system operators all other    ,13200,98,80,92,very high,high,very high,very high,,
,Occupational health and safety technicians,22100,,,,,,,,,
,Musical instrument repairers and tuners    ,8900,39,67,46,low to medium,high,low to medium,low to medium,,
,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic    ,77100,96,79,91,very high,high,very high,very high,,
,Baggage porters and bellhops    ,40600,91,84,14,very high,very high,very low,very low,,
,Gambling managers    ,5100,50,26,68,low to medium,low,high,high,,
,First-line supervisors of transportation and material-moving workers except aircraft cargo handling supervisors,456700,,,,,,,,,
,Gambling and sports book writers and runners    ,10400,70,80,40,high,high,low to medium,low to medium,,
,Mobile heavy equipment mechanics except engines    ,152900,78,81,60,high,high,medium to high,medium to high,,
,Inspectors testers sorters samplers and weighers    ,590100,90,64,98,very high,medium to high,very high,very high,,
No formal educational credential,Food servers nonrestaurant    ,284600,7,76,7,very low,high,very low,very low,level2,
,Food and tobacco roasting baking and drying machine operators and tenders    ,22100,93,92,9,very high,very high,very low,very low,,
,Helpers construction trades all other    ,28800,44,96,14,low to medium,very high,very low,very low,,
,Farm labor contractors    ,800,10,6,44,very low,very low,low to medium,low to medium,,
,Miscellaneous entertainers and performers sports and related workers,33300,,,,,,,,,
,Hoist and winch operators    ,4900,99,96,93,very high,very high,very high,very high,,
,Tailors dressmakers and custom sewers    ,37300,39,61,57,low to medium,medium to high,medium to high,medium to high,,
,Door-to-door sales workers news and street vendors and related workers    ,72900,39,10,13,low to medium,very low,very low,very low,,
,Helpers--carpenters    ,33200,44,96,14,low to medium,very high,very low,very low,,
,Cooks fast food    ,534000,9,62,21,very low,medium to high,low,low,,
,Athletes and sports competitors    ,13600,27,54,52,low,medium to high,medium to high,medium to high,,
,Automotive and watercraft service attendants    ,118800,26,81,25,low,high,low,low,,
,Passenger vehicle drivers except bus drivers transit and intercity,853300,,,,,,,,,
,Grounds maintenance workers all other    ,17400,49,73,52,low to medium,high,medium to high,medium to high,,
,Food preparation workers    ,886700,2,75,1,very low,high,very low,very low,,
,Models    ,2700,5,18,2,very low,low,very low,very low,,
,Laborers and freight stock and material movers hand    ,2986000,85,94,49,very high,very high,low to medium,low to medium,,
,Hosts and hostesses restaurant lounge and coffee shop    ,429700,7,76,7,very low,high,very low,very low,,
,Shampooers    ,16800,15,55,28,very low,medium to high,low,low,,
,Helpers--brickmasons blockmasons stonemasons and tile and marble setters    ,23400,44,96,14,low to medium,very high,very low,very low,,
,Dancers    ,11400,5,16,14,very low,very low,very low,very low,,
,Landscaping and groundskeeping workers    ,1188000,49,73,52,low to medium,high,medium to high,medium to high,,
,Telemarketers    ,136900,11,4,18,very low,very low,low,low,,
,Conveyor operators and tenders    ,23900,99,96,93,very high,very high,very high,very high,,
,Material moving workers all other    ,29800,,,,,,,,,
,Helpers--roofers    ,9100,44,96,14,low to medium,very high,very low,very low,,
,Pressers textile garment and related materials    ,38300,19,53,21,low,medium to high,low,low,,
,Painters construction and maintenance    ,379500,84,80,54,very high,high,medium to high,medium to high,,
,Motor vehicle operators all other    ,61700,,,,,,,,,
,Cement masons and concrete finishers    ,200400,37,74,20,low to medium,high,low,low,,
,Paperhangers    ,5600,64,68,26,medium to high,high,low,low,,
,Butchers and meat cutters    ,137500,6,41,33,very low,low to medium,low,low,,
,Parts salespersons    ,261700.02,27,11,20,low,very low,low,low,,
,Slaughterers and meat packers    ,75000,6,41,33,very low,low to medium,low,low,,
,Waiters and waitresses    ,2613800,16,47,7,very low,low to medium,very low,very low,,
,Pipelayers    ,38900,74,83,43,high,high,low to medium,low to medium,,
,Grinding and polishing workers hand    ,29000,92,66,33,very high,medium to high,low,low,,
,Tapers    ,21800,39,61,35,low to medium,medium to high,low to medium,low to medium,,
,Gambling change persons and booth cashiers    ,21700,65,23,38,medium to high,low,low to medium,low to medium,,
,Cashiers    ,3600900,65,23,38,medium to high,low,low to medium,low to medium,,
,Rotary drill operators oil and gas    ,20900,59,84,53,medium to high,very high,medium to high,medium to high,,
,Roofers    ,161600,70,80,54,high,high,medium to high,medium to high,,
,Lifeguards ski patrol and other recreational protective service workers    ,149800,20,75,46,low,high,low to medium,low to medium,,
,Demonstrators and product promoters    ,88100,5,18,2,very low,low,very low,very low,,
,Floor sanders and finishers    ,7000,49,92,35,low to medium,very high,low to medium,low to medium,,
,Industrial truck and tractor operators    ,634700,96,100,64,very high,very high,medium to high,medium to high,,
,Fence erectors    ,34200,44,68,57,low to medium,high,medium to high,medium to high,,
,Fast food and counter workers,4047700,7,76,7,very low,high,very low,very low,,
,Meat poultry and fish cutters and trimmers    ,161800,6,41,33,very low,low to medium,low,low,,
,Cleaners of vehicles and equipment    ,408400,39,80,20,low to medium,high,low,low,,
,Plasterers and stucco masons    ,27700,60,66,23,medium to high,medium to high,low,low,,
,Dining room and cafeteria attendants and bartender helpers    ,488000,7,76,7,very low,high,very low,very low,,
,Service unit operators oil and gas    ,51700,59,84,53,medium to high,very high,medium to high,medium to high,,
,Cutters and trimmers hand    ,9800,62,78,52,medium to high,high,medium to high,medium to high,,
,Packers and packagers hand    ,640800,100,97,92,very high,very high,very high,very high,,
,Ushers lobby attendants and ticket takers    ,139000,44,79,21,low to medium,high,low,low,,
,Rock splitters quarry    ,5100,59,84,53,medium to high,very high,medium to high,medium to high,,
,Cooks restaurant    ,1417300,9,62,21,very low,medium to high,low,low,,
,Counter and rental clerks    ,420400,2,3,2,very low,very low,very low,very low,,
,Cooks short order    ,154700,9,62,21,very low,medium to high,low,low,,
,Laundry and dry-cleaning workers    ,215200,66,80,63,medium to high,high,medium to high,medium to high,,
,Derrick operators oil and gas    ,12000,59,84,53,medium to high,very high,medium to high,medium to high,,
,Sewing machine operators    ,146500,32,74,47,low,high,low to medium,low to medium,,
,Sailors and marine oilers    ,31900,64,69,21,medium to high,high,low,low,,
,Cooks institution and cafeteria    ,420200,9,62,21,very low,medium to high,low,low,,
,Bakers    ,199300,24,52,14,low,medium to high,very low,very low,,
,Craft artists    ,10600,66,33,52,medium to high,low,medium to high,medium to high,,
,Janitors and cleaners except maids and housekeeping cleaners    ,2374200,80,98,31,high,very high,low,low,,
,Tank car truck and ship loaders    ,12200,99,91,59,very high,very high,medium to high,medium to high,,
,Construction laborers    ,1398000,68,88,48,high,very high,low to medium,low to medium,,
,Loading and moving machine operators underground mining,4500,98,96,89,very high,very high,very high,very high,,
,Fishing and hunting workers,36700,,,,,,,,,
,Amusement and recreation attendants    ,357700,70,80,40,high,high,low to medium,low to medium,,
,Machine feeders and offbearers    ,62900,99,96,34,very high,very high,low to medium,low to medium,,
,Building cleaning workers all other    ,19400,61,97.5,18,medium to high,very high,low,low,,
